Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
603,1 BHK Ready to Occupy Flat for sale Bhiwandi,"Have a look at this immaculate 1 BHK flat for sale in Bhiwandi, Thane. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! The ready to move flat in Bhiwandi is all ready for sale at a low-priced budget of INR 25.2 Lac. The flat is semi-furnished and makes for an ideal choice for any family.",25.2 Lac ,4200,thane,,Ready to Move,3 out of 3,Resale,Semi-Furnished,,Main Road,,1,,,Freehold,600 sqft,,
604,2 BHK Ready to Occupy Flat for sale in Palacia Kingston Phase 2 Hiranandani Estate,"This magnificent 2 BHK Flat is available for sale in Hiranandani Estate, Thane. Located in the Palacia Kingston Phase 2 township, the flat enjoys access to the prime spots in the city. This flat for sale is a choice property. This apartment ready to move in the Hiranandani Estate is available for an attractive price of INR 89 Lac. The flat is available in unfurnished condition. hiranandani estate are some of the key nearby landmarks.",89 Lac ,8900,thane,611 sqft,Ready to Move,9 out of 20,New Property,Unfurnished,East,Garden/Park,Palacia Kingston Phase 2,2,3,1 Covered,Co-operative Society,,,
605,2 BHK Ready to Occupy Flat for sale in Vasant Vihar Thane West,"This exquisite 2 BHK Flat is offered for sale in Thane West, Thane. Ideally situated in the Vasant Vihar township it enjoys a prime location. This flat for resale has a desirable location. This ready to move flat in Thane West can be taken at a very economical pricing of INR 95 Lac. Available in semi-furnished state, this flat is a great buy. near pawar narar bus stop are some major landmarks near the apartment.",95 Lac ,,thane,670 sqft,Ready to Move,3 out of 7,Resale,Semi-Furnished,East,Garden/Park,Vasant Vihar,2,,1 Open,Co-operative Society,,,
606,1 BHK Ready to Occupy Flat for sale in Hubtown Greenwoods Pokhran Road,"This exquisite 1 BHK Flat is offered for sale in Pokhran Road, Thane. It is in a prime location within the Hubtown Greenwoods. This flat for sale is a choice property. This apartment ready to move in the Pokhran Road is available for an attractive price of INR 65 Lac. It is a unfurnished apartment.",65 Lac ,11111,thane,,Ready to Move,10 out of 27,New Property,Unfurnished,,,Hubtown Greenwoods,2,,,,585 sqft,,
607,1 BHK Ready to Occupy Flat for sale in Neelkanth Royale Palms Badlapur,"This exquisite 1 BHK Flat is offered for sale in Badlapur, Thane. It is housed in the well-planned Neelkanth Royale Palms township in an advantageous location. Invest your valuable money in this flat that is for resale. This ready to move flat is offered at an economical price of INR 27.5 Lac. This contemporary apartment is unfurnished.",27.5 Lac ,3667,thane,,Ready to Move,2 out of 7,Resale,Unfurnished,,,Neelkanth Royale Palms,1,,,,750 sqft,,
608,2 BHK Ready to Occupy Flat for sale in Neelkanth Royale Palms Badlapur,"This beautiful 2 BHK Flat is available for sale in Badlapur, Thane. Enjoying a prime location, this property is housed in the Neelkanth Royale Palms society. This is one of the best properties available for resale. You can buy this ready to move flat in Badlapur at a reasonable price of INR 1.45 Cr. This flat is an ideal choice because it is an furnished apartment with all basic amenities.",31.1 Lac ,3274,thane,,Ready to Move,10 out of 22,Resale,Furnished,,,Neelkanth Royale Palms,2,,,,950 sqft,,
609,1 BHK Ready to Occupy Flat for sale in Gokool Residency Asangaon,"Have a look at this immaculate 1 BHK flat for sale in Asangaon, Thane. Enjoying a prime location, this property is housed in the Gokool Residency society. This flat for resale has a desirable location. This ready to move flat in Asangaon comes at an affordable price of INR 25 Lac. You will find it unfurnished.",25 Lac ,3846,thane,,Ready to Move,1 out of 3,Resale,Unfurnished,,,Gokool Residency,1,,,,650 sqft,,
610,2 BHK Ready to Occupy Flat for sale in Sunrise by Kalpataru Kolshet Road,"This beautiful 2 BHK Flat is available for sale in Kolshet Road, Thane. Well-tucked in the Sunrise By Kalpataru township, the property is easily accessible. This is a desirable apartment for resale. This ready to move flat in Kolshet Road can be availed at a reasonable price of INR 1.41 Cr. This contemporary apartment is unfurnished. near to the r-mall. are some of the key nearby landmarks.",1.41 Cr ,11941,thane,779 sqft,Ready to Move,13 out of 26,Resale,Unfurnished,North - East,"Garden/Park, Main Road",Sunrise by Kalpataru,2,1,1 Covered,Freehold,,,
611,2 BHK Ready to Occupy Flat for sale in Rosa Gardenia Kasarvadavali,"This beautiful 2 BHK Flat is available for sale in Kasarvadavali, Thane. Well-tucked in the Rosa Gardenia township, the property is easily accessible. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat is offered at an economical price of INR 76 Lac. This contemporary apartment is unfurnished. This 2 BHK flat boasts of being in close proximity to significant landmarks like its near from upcoming metro station. that enhance the overall living experience.",76 Lac ,9870,thane,525 sqft,Ready to Move,15 out of 16,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",Rosa Gardenia,2,2,1 Covered,Co-operative Society,,,
612,1 BHK Ready to Occupy Flat for sale Sonivali,"This beautiful 1 BHK Flat is available for sale in Sonivali, Thane. This flat is available as a resale property. This ready to move flat in Sonivali comes at an affordable price of INR 25 Lac.",Call for Price,,thane,,Ready to Move,5 out of 8,Resale,,,,,2,,,,635 sqft,,
613,1 BHK Ready to Occupy Flat for sale Ambernath East,"Carefully laid out in the prime location of Ambernath East in Thane, this spacious 1 BHK flat on sale is a meticulously planned project. This apartment for resale is a great choice. The ready to move flat in the prime area of Ambernath East is available at a reasonable price of INR 22 Lac. The flat is unfurnished and is suitable for any family size.",22 Lac ,4000,thane,,Ready to Move,2 out of 5,Resale,Unfurnished,,,,1,,,,550 sqft,,
614,2 BHK Ready to Occupy Flat for sale in Saptashree Heights Dhokli Naka,"Dhokli Naka, Thane has an attractive 2 BHK Flat for sale. Situated in the Saptashree Heights township, it has a prime location. This flat for resale is a choice property. This ready to move flat in Dhokli Naka comes at an affordable price of INR 1.08 Cr. Available in unfurnished state, this flat is a great buy. Some neighbouring landmarks are dhokali thane.",1.08 Cr ,11368,thane,636 sqft,Ready to Move,11 out of 26,Resale,Unfurnished,East,"Garden/Park, Main Road",Saptashree Heights,2,2,1 Covered,Freehold,,,
615,1 BHK Ready to Occupy Flat for sale Dombivli West,"Dombivli West, Thane has an attractive 1 BHK Flat for sale. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in Dombivli West is available for a reasonable price of INR 51 Lac. It is unfurnished to accommodate your needs.",51 Lac ,6800,thane,610 sqft,Ready to Move,1 out of 5,Resale,Unfurnished,North,Main Road,,2,3,,Co-operative Society,,,
616, Studio Apartment for sale Badlapur (East) Thane,This flat for resale is a choice property. This ready to move flat in Badlapur (East) comes at an affordable price of INR 18 Lac. The flat is unfurnished and is suitable for any family size.,18 Lac ,5128,thane,,Ready to Move,2 out of 3,Resale,Unfurnished,,,,1,,,,351 sqft,,
617,1 BHK Ready to Occupy Flat for sale in Lodha Casa Bella Gold Dombivli East,"This exquisite 1 BHK Flat is offered for sale in Dombivli East, Thane. The property is ideally located in a strategic location in Lodha Casa Bella Gold township. This flat for resale is a choice property. This apartment in one of the significant areas of Dombivli East is ready to move, and can be purchased at the best price of INR 40 Lac. This premium unfurnished flat spells quality and comfort at a competitive price.",40 Lac ,6838,thane,450 sqft,Ready to Move,7 out of 8,Resale,Unfurnished,,,Lodha Casa Bella Gold,1,,,,,,
618,2 BHK Ready to Occupy Flat for sale in Dedhia EL Canto Dongripada,"Discover this immaculate 2 BHK flat for sale at the pristine Dongripada in Thane. It enjoys an excellent location within the Dedhia El Canto. This flat for resale is a choice property. The ready to move flat in Dongripada is all ready for sale at a low-priced budget of INR 1.40 Cr. Available in unfurnished state, this flat is a great buy. The flat is easily approachable because it is near to this property is at a walkable distance from upcoming metro station..",1.40 Cr ,12444,thane,720 sqft,Ready to Move,11 out of 28,Resale,Unfurnished,North - East,Main Road,Dedhia EL Canto,2,3,1 Covered,Co-operative Society,,,
619,3 BHK Ready to Occupy Flat for sale in Ashar Monarch Pokhran Road,Discover this immaculate 3 BHK flat for sale at the pristine Pokhran Road in Thane. This flat is placed in a marvellous location within the Ashar Monarch complex. This flat is available as a resale property. This ready to move flat in Pokhran Road is available for a reasonable price of INR 2.25 Cr. The apartment is unfurnished. The flat is easily approachable because it is near to prime location of vasant vihar.,2.25 Cr ,12857,thane,1100 sqft,Ready to Move,,Resale,Unfurnished,West,"Garden/Park, Pool",Ashar Monarch,3,3,,Co-operative Society,,,
620,1 BHK Ready to Occupy Flat for sale Shahad,"1 BHK flat available for sale in Thane in the prime location of Shahad. This flat for sale is just the type of property you have been searching for! You can buy this ready to move flat in Shahad at a reasonable price of INR 34 Lac. The apartment is unfurnished. Some of the landmarks in the vicinity include near shahad station, shahad.",34 Lac ,4857,thane,440 sqft,Ready to Move,9 out of 16,New Property,Unfurnished,East,"Garden/Park, Main Road",,2,3,1 Open,Freehold,,,
621,1 BHK Ready to Occupy Flat for sale in Panvelkars Green City Ambernath,"This lovely 1 BHK Flat in Ambernath, Thane is up for sale. Located in the Panvelkars Green City township, the flat enjoys access to the prime spots in the city. This flat all equipped with required facilities, is up for resale. This ready to move flat in Ambernath comes at an affordable price of INR 30 Lac. This premium unfurnished flat spells quality and comfort at a competitive price.",Call for Price,,thane,,Ready to Move,1 out of 8,Resale,Unfurnished,,,Panvelkars Green City,1,,,,865 sqft,,
622,3 BHK Ready to Occupy Flat for sale Thane West,"This gorgeous 3 BHK Flat is available for sale in Thane West, Thane. This is a desirable apartment for sale. The ready to move flat in the prime area of Thane West is available at a reasonable price of INR 2.20 Cr. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities. near talvarkar gym are some of the key nearby landmarks.",2.20 Cr ,16000,thane,,Ready to Move,9 out of 14,New Property,Unfurnished,West,Main Road,,3,1,1 Covered,Co-operative Society,1375 sqft,,
623,2 BHK Ready to Occupy Flat for sale Shahad,"This beautiful 2 BHK Flat is available for sale in Shahad, Thane. Invest your valuable money in this flat that is for sale. This ready to move flat in Shahad comes at an affordable price of INR 54 Lac. This contemporary apartment is unfurnished. Some of the landmarks in the vicinity include near shahad station..",54 Lac ,4909,thane,700 sqft,Ready to Move,5 out of 16,New Property,Unfurnished,East,"Garden/Park, Main Road",,2,3,1 Open,Freehold,,,
624,1 BHK Ready to Occupy Flat for sale in Lodha Amara Kolshet Road,"Kolshet Road, Thane has an appealing 1 BHK flat for sale with various amenities. Situated in the excellent Lodha Amara township. The flat enjoys a prime location. This flat for resale is a choice property. This ready to move flat in Kolshet Road comes at an affordable price of INR 79 Lac. The flat is available in unfurnished condition.",79 Lac ,16667,thane,,Ready to Move,23 out of 27,Resale,Unfurnished,North - East,"Garden/Park, Pool, Main Road",Lodha Amara,2,,,,474 sqft,,
625,1 BHK Ready to Occupy Flat for sale in Kadamba Society Vasant Vihar,"One can find this stunning 1 BHK flat for sale in Vasant Vihar, Thane. It is based at Kadamba Society complex, that occupies a prominent place in the locality. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! This ready to move flat in Vasant Vihar is available for a reasonable price of INR 66 Lac. You will find it semi-furnished. near vasant vihar bus stop are some of the key nearby landmarks.",66 Lac ,11000,thane,420 sqft,Ready to Move,4 out of 7,Resale,Semi-Furnished,East,Garden/Park,Kadamba Society,1,,,Co-operative Society,,,
626,3 BHK Ready to Occupy Flat for sale in Canary Hiranandani Estate Ghodbunder Road,"Discover this immaculate 3 BHK flat for sale at the pristine Ghodbunder Road in Thane. Situated in the excellent Canary Hiranandani Estate township. The flat enjoys a prime location. This is a desirable apartment for resale. This ready to move flat in Ghodbunder Road can be availed at a reasonable price of INR 1.90 Cr. The flat is sold in unfurnished condition. Some nearby landmarks are near hiranandani school, patlipada, thane west.",1.90 Cr ,14394,thane,900 sqft,Ready to Move,,Resale,Unfurnished,North - East,Main Road,Canary Hiranandani Estate,2,,,Co-operative Society,,,
627,2 BHK Ready to Occupy Flat for sale in Rustomjee Azziano Majiwada,"Majiwada, Thane has an attractive 2 BHK Flat for sale. Strategically situated in the Rustomjee Azziano site, it is placed at a prime location. This is one of the best properties available for resale. This ready to move flat is offered at an economical price of INR 1.40 Cr. You will find it semi-furnished. Landmarks near the apartment include property description majiawada.",1.40 Cr ,12727,thane,851 sqft,Ready to Move,27 out of 36,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",Rustomjee Azziano,2,2,1 Covered,Freehold,,,
628,1 BHK Ready to Occupy Flat for sale in Lodha Splendora Ghodbunder Road,"Ghodbunder Road, Thane has an appealing 1 BHK flat for sale with various amenities. This flat is situated in the Lodha Splendora township and is equipped with premium facilities. This flat all equipped with required facilities, is up for resale. This ready to move flat in Ghodbunder Road can be taken at a very economical pricing of INR 60 Lac. The flat is unfurnished and is suitable for any family size.",60 Lac ,8392,thane,580 sqft,Ready to Move,17 out of 25,Resale,Unfurnished,,,Lodha Splendora,2,,,,,,
629,2 BHK Ready to Occupy Flat for sale in CSH Yashraj Park Kasarvadavali,Discover this immaculate 2 BHK flat for sale at the pristine Kasarvadavali in Thane. This flat is situated within the renown township of Csh Yashraj Park. This apartment is a property of choice for resale. This ready to move flat in Kasarvadavali comes at an affordable price of INR 65 Lac. This premium unfurnished flat spells quality and comfort at a competitive price. Landmarks near the apartment include near hyper city mall.,65 Lac ,7647,thane,580 sqft,Ready to Move,2 out of 7,Resale,Unfurnished,East,"Garden/Park, Main Road",CSH Yashraj Park,2,,1 Open,Co-operative Society,,,
630,2 BHK Ready to Occupy Flat for sale in Reliance Residency Ambernath,"Creatively planned and constructed is a 2 BHK flat for sale in Ambernath, Thane. Situated in the excellent Reliance Residency township. The flat enjoys a prime location. This apartment for resale is a great choice. This ready to move property in Ambernath is readily available within an affordable cost of INR 41 Lac. The flat is furnished and makes for an ideal choice for any family. The prime landmarks near this property are near shiv mandir.",41 Lac ,4271,thane,650 sqft,Ready to Move,2 out of 7,Resale,Furnished,East,"Garden/Park, Main Road",Reliance Residency,2,3,,Freehold,,,
631,2 BHK Ready to Occupy Flat for sale in Brahmand CHS Brahmand,"Carefully laid out in the prime location of Brahmand in Thane, this spacious 2 BHK flat on sale is a meticulously planned project. It is based at Brahmand Chs complex, that occupies a prominent place in the locality. This apartment for resale is a great choice. This apartment in one of the significant areas of Brahmand is ready to move, and can be purchased at the best price of INR 90 Lac. Available in unfurnished state, this flat is a great buy. The prime landmarks near this property are reputed schools, banks and atms are available nearby vicinity.",90 Lac ,14516,thane,620 sqft,Ready to Move,6 out of 7,Resale,Unfurnished,North,,Brahmand CHS,2,,1 Open,Freehold,,,
632,1 BHK Ready to Occupy Flat for sale Dombivli,"This exquisite 1 BHK Flat is offered for sale in Dombivli, Thane. Your hunt for the perfect apartment for resale comes to an end here. The ready to move flat in the prime area of Dombivli is available at a reasonable price of INR 21 Lac. You will find it unfurnished.",21 Lac ,5455,thane,,Ready to Move,4 out of 4,Resale,Unfurnished,,,,1,1,,,385 sqft,,
633,1 BHK Ready to Occupy Flat for sale in Puraniks Rumah Bali Ghodbunder Road,"This magnificent 1 BHK Flat is available for sale in Ghodbunder Road, Thane. The property is ideally located in a strategic location in Puraniks Rumah Bali township. This flat is available as a resale property. This ready to move flat in Ghodbunder Road is available for a reasonable price of INR 62 Lac. This flat is an ideal choice because it is an semi-furnished apartment with all basic amenities. Some neighbouring landmarks are vedant hospital.",62 Lac ,9920,thane,444 sqft,Ready to Move,23 out of 28,Resale,Semi-Furnished,East,Main Road,Puraniks Rumah Bali,2,,1 Covered,Freehold,,,
634,2 BHK Ready to Occupy Flat for sale in Patel Prestige Ambernath West,"Have a look at this immaculate 2 BHK flat for sale in Ambernath West, Thane. This flat is situated in the Patel Prestige township and is equipped with premium facilities. This flat for sale is the perfect property for you! The ready to move flat in Ambernath West is all ready for sale at a low-priced budget of INR 32.9 Lac. Available in unfurnished state, this flat is a great buy. The flat is easily approachable because it is near to ambernath.",32.9 Lac ,3670,thane,530 sqft,Ready to Move,5 out of 12,New Property,Unfurnished,East,Garden/Park,Patel Prestige,2,2,1 Open,Freehold,,,
635, Studio Apartment for sale Thane West,"This flat for sale is just the type of property you have been searching for! Available at a reasonable selling price of INR 45 Lac, this ready to move apartment in Thane West is a great buy. The flat is sold in unfurnished condition. Significant landmarks in its proximity are majiwada thane.",45 Lac ,9000,thane,400 sqft,Ready to Move,4 out of 7,New Property,Unfurnished,East,"Garden/Park, Main Road",,1,2,1 Open,Freehold,,,
636,2 BHK Ready to Occupy Flat for sale Titwala,"Titwala, Thane has an attractive 2 BHK Flat for sale. Invest your valuable money in this flat that is for resale. This apartment in one of the significant areas of Titwala is ready to move, and can be purchased at the best price of INR 45 Lac. The spacious apartment is unfurnished.",45 Lac ,,thane,778 sqft,Ready to Move,4 out of 4,Resale,Unfurnished,,,,1,,,,,,
637,2 BHK Ready to Occupy Flat for sale in Sarvodaya Leela Thakurli,"One can find this stunning 2 BHK flat for sale in Thakurli, Thane. It is housed in the well-planned Sarvodaya Leela township in an advantageous location. Invest your valuable money in this flat that is for resale. This ready to move flat in Thakurli can be taken at a very economical pricing of INR 75 Lac. The flat is unfurnished and makes for an ideal choice for any family. near dns bank. are some of the key nearby landmarks.",75 Lac ,7732,thane,710 sqft,Ready to Move,2 out of 12,Resale,Unfurnished,North,"Garden/Park, Main Road",Sarvodaya Leela,2,1,1 Open,Freehold,,,
638,3 BHK Ready to Occupy Flat for sale in Ushakiran Residency Badlapur East,"Badlapur East, Thane has an appealing 3 BHK flat for sale with various amenities. Strategically situated in the Ushakiran Residency site, it is placed at a prime location. Invest your valuable money in this flat that is for resale. Located in Badlapur East, this ready to move apartment is sold at a fair selling price of INR 51 Lac. This semi-furnished flat is strategically designed with all the amenities to enhance the living experience.",51 Lac ,3926,thane,,Ready to Move,6 out of 8,Resale,Semi-Furnished,,,Ushakiran Residency,3,,,,1299 sqft,,
639,4 BHK Ready to Occupy Flat for sale in The Verraton Manpada Thane West,"This gorgeous 4 BHK Flat is available for sale in Manpada Thane West, Thane. Located in the The Verraton township, the flat enjoys access to the prime spots in the city. This flat for resale is a choice property. This ready to move flat located in Manpada Thane West is available for purchase at a fair price of INR 2.80 Cr. The flat is sold in unfurnished condition. manpada are some of the well-known landmarks in this locality.",2.80 Cr ,12681,thane,1380 sqft,Ready to Move,12 out of 31,Resale,Unfurnished,East,Garden/Park,The Verraton,3,1,2 Covered,Freehold,,,
640,2 BHK Ready to Occupy Flat for sale in Vijay Enclave Waghbil,"2 BHK flat available for sale in Thane in the prime location of Waghbil. It enjoys an excellent location within the Vijay Enclave. Your search ends here, because this flat for resale is among the best bargains in town. Available at a reasonable selling price of INR 1.20 Cr, this ready to move apartment in Waghbil is a great buy. The flat is available in semi-furnished condition. Significant landmarks in its proximity are waghbil naka.",1.20 Cr ,,thane,800 sqft,Ready to Move,5 out of 14,Resale,Semi-Furnished,East,Garden/Park,Vijay Enclave,2,2,,Co-operative Society,,,
641,1 BHK Ready to Occupy Flat for sale Vasind,"This lovely 1 BHK Flat in Vasind, Thane is up for sale. This apartment for resale is a great choice. You can buy this ready to move flat in Vasind at a reasonable price of INR 26 Lac. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level.",26 Lac ,4000,thane,,Ready to Move,4 out of 4,Resale,Unfurnished,,,,1,,,,650 sqft,,
642,1 BHK Ready to Occupy Flat for sale in Krishna Highlands Dombivli,"This attractive 1 BHK apartment can be found for sale in Dombivli, Thane. It is housed in the well-planned Krishna Highlands township in an advantageous location. This flat is an attractive property for resale. This ready to move flat located in Dombivli is available for purchase at a fair price of INR 35 Lac. The flat is furnished and is suitable for any family size.",35 Lac ,6140,thane,,Ready to Move,2 out of 7,Resale,Furnished,,,Krishna Highlands,2,,,,570 sqft,,
643,1 BHK Ready to Occupy Flat for sale in Mahindra Happinest Kalyan Kalyan West,"One can find this stunning 1 BHK flat for sale in Kalyan West, Thane. This flat is placed in a marvellous location within the Mahindra Happinest Kalyan complex. This flat is available as a sale property. This apartment in one of the significant areas of Kalyan West is ready to move, and can be purchased at the best price of INR 47 Lac. The possession date is Jul '23. It is semi-furnished to accommodate your needs. The property is strategically placed near prominent places as planned metro line 5 connecting thane bhiwandi kalyan which make for the smooth living of residents.",47 Lac ,7100,thane,414 sqft,Ready to Move,9 out of 14,New Property,Semi-Furnished,North - West,"Garden/Park, Pool, Main Road",Mahindra Happinest Kalyan,1,,1 Covered,Freehold,,,
644,2 BHK Ready to Occupy Flat for sale in Rustomjee Azziano Majiwada,"This beautiful 2 BHK Flat is available for sale in Majiwada, Thane. This flat is situated within the renown township of Rustomjee Azziano. This flat for resale is a choice property. This ready to move flat in Majiwada can be taken at a very economical pricing of INR 1.43 Cr. The flat is semi-furnished and makes for an ideal choice for any family. property description property majiawada are some of the key nearby landmarks.",1.43 Cr ,13000,thane,851 sqft,Ready to Move,32 out of 36,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",Rustomjee Azziano,2,2,1 Covered,Freehold,,,
645,1 BHK Ready to Occupy Flat for sale Titwala,"One can find this stunning 1 BHK flat for sale in Titwala, Thane. This flat all equipped with required facilities, is up for resale. This ready to move property in Titwala is readily available within an affordable cost of INR 19 Lac. This premium unfurnished flat spells quality and comfort at a competitive price.",19 Lac ,3800,thane,,Ready to Move,4 out of 4,Resale,Unfurnished,,,,1,,,,500 sqft,,
646,1 BHK Ready to Occupy Flat for sale Diva,"This exquisite 1 BHK Flat is offered for sale in Diva, Thane. This flat for resale has a desirable location. This ready to move flat in Diva comes at an affordable price of INR 15 Lac. It is unfurnished to accommodate your needs.",15 Lac ,2727,thane,,Ready to Move,4 out of 4,Resale,Unfurnished,,,,1,,,,550 sqft,,
647,4 BHK Ready to Occupy Flat for sale in Hiranandani Meadows Manpada Thane West,"Have a look at this immaculate 4 BHK flat for sale in Manpada Thane West, Thane. Situated in the Hiranandani Meadows township, it has a prime location. This flat for resale has a desirable location. Available at a reasonable selling price of INR 2.40 Cr, this ready to move apartment in Manpada Thane West is a great buy. The flat is unfurnished and makes for an ideal choice for any family. Prominent landmarks in and around this locality are dr. kashinath ghanekar natyagruha.",2.40 Cr ,12012,thane,1520 sqft,Ready to Move,14 out of 27,Resale,Unfurnished,East,Garden/Park,Hiranandani Meadows,4,1,2 Covered,Freehold,,,
648,3 BHK Ready to Occupy Flat for sale in Ashar Sapphire Kapurbawdi,"This magnificent 3 BHK Flat is available for sale in Kapurbawdi, Thane. It is in a prime location within the Ashar Sapphire. This apartment is a property of choice for resale. This ready to move flat in Kapurbawdi can be taken at a very economical pricing of INR 2 Cr. The flat is unfurnished and makes for an ideal choice for any family. Some nearby landmarks are booker wholesale, behind vijay sales, behind ashar millenia.",2 Cr ,18657,thane,927 sqft,Ready to Move,5 out of 27,Resale,Unfurnished,East,Main Road,Ashar Sapphire,3,3,2 Covered,Freehold,,,
649, Studio Apartment for sale Kalyan,"This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! The ready to move flat in the prime area of Kalyan is available at a reasonable price of INR 22 Lac. This flat is an ideal choice because it is an unfurnished apartment with all basic amenities.",22 Lac ,5714,thane,,Ready to Move,4 out of 4,Resale,Unfurnished,,,,,,,,385 sqft,,
650,2 BHK Ready to Occupy Flat for sale in Atlantis Panch Pakhdi,This ready to move-in 2 BHK flat is available for sale at the premium Panch Pakhdi in Thane. It is housed in the well-planned Atlantis township in an advantageous location. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat in Panch Pakhdi can be taken at a very economical pricing of INR 1.60 Cr. It is a semi-furnished apartment. Some of the landmarks in the vicinity include panchpakhadi service road.,1.60 Cr ,14545,thane,690 sqft,Ready to Move,16 out of 22,Resale,Semi-Furnished,North,Main Road,Atlantis,2,1,1 Covered,Co-operative Society,,,
651, Studio Apartment for sale Nandivali Gaon,"This flat is an attractive property for resale. This apartment in one of the significant areas of Nandivali Gaon is ready to move, and can be purchased at the best price of INR 20 Lac. It is furnished to accommodate your needs.",20 Lac ,5405,thane,,Ready to Move,3 out of 3,Resale,Furnished,,,,1,,,,370 sqft,,
652,2 BHK Ready to Occupy Flat for sale in Haware Citi Ghodbunder Road,"Have a look at this immaculate 2 BHK flat for sale in Ghodbunder Road, Thane. It is based at Haware Citi complex, that occupies a prominent place in the locality. This apartment for resale is a great choice. This ready to move flat in Ghodbunder Road can be taken at a very economical pricing of INR 72 Lac. The flat is semi-furnished and makes for an ideal choice for any family. suraj water park are some of the well-known landmarks in this locality.",72 Lac ,,thane,615 sqft,Ready to Move,14 out of 28,Resale,Semi-Furnished,,Garden/Park,Haware Citi,2,,,Co-operative Society,,,
653,1 BHK Ready to Occupy Flat for sale in Tata Shubh Griha Vasind,"Vasind, Thane has an attractive 1 BHK Flat for sale. It enjoys an excellent location within the Tata Shubh Griha. This flat is an attractive property for resale. This ready to move flat is offered at an economical price of INR 14.5 Lac. Available in semi-furnished state, this flat is a great buy. The flat is easily approachable because it is near to near reliance cng pump.",14.5 Lac ,3222,thane,,Ready to Move,1 out of 4,Resale,Semi-Furnished,East,Main Road,Tata Shubh Griha,1,,1 Open,Co-operative Society,450 sqft,,
654,1 BHK Ready to Occupy Flat for sale in Lodha Amara Kolshet Road,"This exquisite 1 BHK Flat is offered for sale in Kolshet Road, Thane. This flat is situated in the Lodha Amara township and is equipped with premium facilities. This flat is an attractive property for resale. This ready to move flat in Kolshet Road can be availed at a reasonable price of INR 75.1 Lac. Available in unfurnished state, this flat is a great buy. Some neighbouring landmarks are close proximity to gb road7 mins away from upcoming metro stations.",75.1 Lac ,14725,thane,472 sqft,Ready to Move,12 out of 30,Resale,Unfurnished,East,Main Road,Lodha Amara,2,,1 Covered,Freehold,,,
655,2 BHK Ready to Occupy Flat for sale in Crystal Spires Manpada Thane West,"Manpada, Thane has an attractive 2 BHK Flat for sale. This flat is situated in the Crystal Spires township and is equipped with premium facilities. Invest your valuable money in this flat that is for sale. Located in Manpada, this ready to move apartment is sold at a fair selling price of INR 1.40 Cr. This premium unfurnished flat spells quality and comfort at a competitive price.",1.40 Cr ,10769,thane,,Ready to Move,1 out of 26,New Property,Unfurnished,,,Crystal Spires,2,,,,1300 sqft,,
656,1 BHK Ready to Occupy Flat for sale Rajiv Nagar Thane,1 BHK flat available for sale in Thane in the prime location of Rajiv Nagar. This apartment for resale is a great choice. This ready to move flat in Rajiv Nagar can be availed at a reasonable price of INR 39 Lac.,39 Lac ,7800,thane,,Ready to Move,2 out of 4,Resale,,,,,1,,,,500 sqft,,
657,1 BHK Ready to Occupy Flat for sale in Amber Harmony Thakurli,"This magnificent 1 BHK Flat is available for sale in Thakurli, Thane. It enjoys an excellent location within the Amber Harmony. This flat for resale has a desirable location. This ready to move flat in Thakurli can be availed at a reasonable price of INR 48 Lac. The apartment is unfurnished. near dns bank are some of the well-known landmarks in this locality.",48 Lac ,7218,thane,500 sqft,Ready to Move,3 out of 11,Resale,Unfurnished,North,"Garden/Park, Main Road",Amber Harmony,2,1,1 Open,Freehold,,,
658,2 BHK Ready to Occupy Flat for sale in Tata Serein Pokharan Road Number 2,"2 BHK flat available for sale in Thane in the prime location of Pokharan Road Number 2. It enjoys an excellent location within the Tata Serein. This flat for sale is a choice property. This ready to move flat in Pokharan Road Number 2 can be taken at a very economical pricing of INR 2.07 Cr. Available in semi-furnished state, this flat is a great buy. The property is strategically placed near prominent places as all schools, college, malls, hospitals proposed metro are under 1 km which make for the smooth living of residents.",2.07 Cr ,20909,thane,685 sqft,Ready to Move,25 out of 29,New Property,Semi-Furnished,North - West,"Garden/Park, Pool, Main Road",Tata Serein,2,1,1 Covered,Freehold,,,
